2019oncmp1_qm55,frc5483,frc4476,frc4939,frc4519,frc5672,frc6378,70,65
2019oncmp1_qm56,frc1325,frc2198,frc6135,frc1310,frc7722,frc771,70,71
2019oncmp1_qm57,frc907,frc6461,frc772,frc5036,frc2994,frc1305,50,74
2019oncmp1_qm58,frc7022,frc4936,frc1075,frc854,frc7136,frc865,64,69
2019oncmp1_qm59,frc5024,frc1241,frc4976,frc5834,frc7558,frc4525,100,59
2019oncmp1_qm6,frc4932,frc6378,frc188,frc4519,frc1310,frc2198,75,61
2019oncmp1_qm60,frc4946,frc7520,frc7664,frc4932,frc4152,frc2935,82,87
2019oncmp1_qm61,frc5672,frc1114,frc4939,frc6135,frc771,frc7136,76,64
2019oncmp1_qm62,frc4525,frc5036,frc4976,frc5483,frc1075,frc5024,73,59
2019oncmp1_qm63,frc772,frc7520,frc854,frc4946,frc1241,frc1325,75,102
2019oncmp1_qm64,frc6461,frc4152,frc7022,frc7722,frc4936,frc4519,78,48
2019oncmp1_qm65,frc4476,frc188,frc907,frc5834,frc7664,frc3739,80,60
2019oncmp1_qm66,frc2994,frc4783,frc7558,frc4932,frc1305,frc1310,74,79
2019oncmp1_qm67,frc2935,frc865,frc1241,frc2198,frc6378,frc4152,77,64
2019oncmp1_qm68,frc7722,frc7022,frc854,frc4476,frc1075,frc7664,58,57
2019oncmp1_qm69,frc5024,frc4525,frc4936,frc771,frc4932,frc4939,79,61
2019oncmp1_qm7,frc7558,frc4939,frc907,frc7022,frc4476,frc4525,58,83
2019oncmp1_qm70,frc1310,frc188,frc2994,frc4519,frc7520,frc5036,88,62
2019oncmp1_qm71,frc7136,frc7558,frc6378,frc4783,frc4946,frc6461,59,86
2019oncmp1_qm72,frc1114,frc907,frc2198,frc4976,frc772,frc1305,83,81
2019oncmp1_qm73,frc1325,frc3739,frc2935,frc5483,frc5672,frc5834,92,70
2019oncmp1_qm74,frc6135,frc5036,frc6461,frc4783,frc4525,frc865,62,47
2019oncmp1_qm75,frc5024,frc4932,frc4519,frc7664,frc1114,frc7136,70,77
2019oncmp1_qm76,frc4152,frc772,frc7722,frc5834,frc4939,frc1075,50,79
2019oncmp1_qm77,frc2935,frc6378,frc771,frc1305,frc854,frc7558,54,59
2019oncmp1_qm78,frc5483,frc6135,frc4936,frc907,frc1241,frc2994,76,69
2019oncmp1_qm79,frc188,frc865,frc4976,frc5672,frc4476,frc7520,91,55
2019oncmp1_qm8,frc3739,frc854,frc771,frc4976,frc4783,frc7722,43,77
2019oncmp1_qm80,frc1310,frc7022,frc1325,frc2198,frc3739,frc4946,99,64
2019oncmp1_qm9,frc1305,frc5834,frc1241,frc865,frc4932,frc4936,80,70
2019oncmp1_sf1m1,frc1241,frc1114,frc771,frc4946,frc4476,frc4519,91,84
2019oncmp1_sf1m2,frc1241,frc1114,frc771,frc4946,frc4476,frc4519,105,77
2019oncmp1_sf2m1,frc1325,frc188,frc2994,frc1305,frc1310,frc4939,90,84
2019oncmp1_sf2m2,frc1325,frc188,frc2994,frc1305,frc1310,frc4939,103,90
2019oncmp2_f1m1,frc3683,frc2056,frc4907,frc5406,frc2200,frc4814,100,87
2019oncmp2_f1m2,frc3683,frc2056,frc4907,frc5406,frc2200,frc4814,100,51
